"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-14","0.27","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-15","0.01","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-16","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-17","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-18","0.01","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-19","0.57","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-20","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-21","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-22","0.18","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-23","0.30","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-24","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-25","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-26","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-27","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-28","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-29","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-30","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-08-31","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-01","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-02","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-03","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-04","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-05","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-06","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-07","0.52","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-08","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-09","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-10","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-11","0.88","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-12","0.10","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-13","3.32","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-14","0.01","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-15","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-16","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-17","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-18","0.02","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-19","1.39","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-20","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-21","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-22","0.02","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-23","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-24","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-25","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-26","4.12","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-27","0.31","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-28","0.02","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-29","0.45","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-09-30","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-01","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-02","0.23","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-03","1.28","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-04","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-05","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-06","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-07","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-08","0.13","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-09","0.01","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-10","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-11","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-12","2.06","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-13","0.83","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-14","0.12","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-15","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-16","0.12","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-17","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-18","0.02","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-19","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-20","0.01","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-21","0.08","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-22","0.05","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-23","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-24","0.05","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-25","0.04","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-26","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-27","0.07","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-28","1.42","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-29","0.04","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-30","0.12","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-10-31","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-01","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-02","0.14","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-03","1.44","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-04","0.25","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-05","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-06","0.48","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-07","0.85","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-08","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-09","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-10","1.87","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-11-11","0.02","0.0","0.0"
